post_title,post_content,post_excerpt,post_status,post_type,sku,regular_price,stock_status,stock_quantity,categories,images
"Fertilizante NPK 15-15-15","Fertilizante balanceado de alta solubilidad para todo tipo de cultivos. Aporta nitrógeno, fósforo y potasio en proporciones equilibradas para un desarrollo óptimo de las plantas. Ideal para cultivos extensivos y hortalizas.","Fertilizante completo para cultivos extensivos",publish,producto,AGR-FERT-001,25990,instock,150,"Fertilizantes > Nutrición Vegetal",
"Herbicida Glifosato 48%","Herbicida sistémico de amplio espectro para control de malezas anuales y perennes. Fórmula concentrada para mezclar con agua. Ideal para aplicaciones pre-siembra y limpieza de terrenos.","Control total de malezas agrícolas",publish,producto,AGR-HERB-001,18990,instock,85,"Herbicidas > Protección Fitosanitaria",
"Insecticida Piretroide 500ml","Insecticida de contacto y ingestión para control de plagas en frutales y hortalizas. Acción rápida con efecto residual prolongado. Baja toxicidad para humanos y animales.","Protección efectiva contra insectos",publish,producto,AGR-INSE-001,12990,instock,120,"Insecticidas > Protección Fitosanitaria",
"Semilla Tomate Cherry 50g","Semillas de tomate cherry de alta germinación. Variedad precoz con frutos dulces y firmes. Ideal para huertos caseros y producción comercial. Resistente a enfermedades comunes.","Semilla certificada de alta germinación",publish,producto,AGR-SEM-001,8990,instock,200,"Semillas > Semillas y Jardín",
"Guantes de Nitrilo Reforzados","Guantes de nitrilo de alta resistencia para manipulación de productos químicos agrícolas. Texturizados para mejor agarre en condiciones húmedas. Caja x 100 unidades.","Protección profesional para manos",publish,producto,AGR-EPP-001,15990,instock,50,"Elementos de Protección Personal > Seguridad Agrícola",
"Aspersor Giratorio 360°","Aspersor de riego automático con rotación completa de 360 grados. Caudal ajustable y base con estaca para fácil instalación. Ideal para jardines y pequeñas superficies de cultivo.","Riego eficiente y automático",publish,producto,AGR-RIEGO-001,6990,instock,75,"Artículos de Riego > Riego y Equipamiento",
"Fungicida Cúprico 1kg","Fungicida bactericida a base de cobre para prevención y control de enfermedades fúngicas en cultivos. Aprobado para agricultura orgánica. Aplicación foliar.","Control de hongos en cultivos",publish,producto,AGR-FUNG-001,22990,instock,60,"Fungicidas > Protección Fitosanitaria",
"Tijera de Podar Victorinox","Tijera profesional de podar con hoja de acero inoxidable suizo. Mango ergonómico antideslizante y sistema de bloqueo de seguridad. Corte preciso para ramas de hasta 25mm.","Herramienta profesional suiza",publish,producto,AGR-HERR-001,34990,instock,40,"Victorinox > Herramientas y Repuestos",
"Adherente Agrícola 250ml","Coadyuvante adherente para mejorar la eficacia de aplicaciones foliares de pesticidas y fertilizantes. Reduce deriva y lavado por lluvia. Compatible con la mayoría de agroquímicos.","Mejora la eficacia de aplicaciones",publish,producto,AGR-ADH-001,9990,instock,90,"Adherentes > Coadyuvantes Agrícolas",
"Rodenticida Anticoagulante 500g","Rodenticida en formato cebo para control efectivo de roedores en bodegas, galpones y áreas de almacenamiento. Fórmula anticoagulante de acción lenta. Estaciones de cebado incluidas.","Control profesional de roedores",publish,producto,AGR-ROD-001,14990,instock,65,"Rodenticidas > Control de Plagas"
